id,addr:city,amenity,name,name:uk,fixme:name:uk
way/294904054,,school,VIII Liceum Ogólnokształcące im. Zofii Nałkowskiej w Lublinie,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
node/2985483200,Lublin,school,XI Liceum Ogólnokształcące,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
node/2985483199,Lublin,school,XII Liceum Ogólnokształcące,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
node/1801053601,Lublin,school,XIX Liceum Ogólnokształcące im. M. i J. Kuncewiczów,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
node/1896537344,Lublin,school,XVIII Liceum Ogólnokształcące im. Stanisławy Filipiny Paleolog,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
node/2985465121,,school,XX Liceum Ogólnokształcące,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
way/750914250,Lublin,school,XXI Liceum Ogólnokształcące im. św. Stanisława Kostki,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
way/294589269,Lublin,school,XXII Liceum Ogólnokształcące,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
way/294104518,Lublin,school,XXIII Liceum Ogólnokształcące im. Nauczycieli Tajnego Nauczania,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
node/2008847704,Lublin,school,XXIV Liceum Ogólnokształcące,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
way/534903619,,school,"XXIX Liceum Ogólnokształcące im. cc. mjr Hieronima Dekutowskiego ps. ""Zapora""",Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
way/292909751,,school,XXX Liceum Ogólnokształcące im. ks. Jana Twardowskiego,Загальноосвітній ліцей,poprawić nazwę ukraińską na dokładniejszą
way/202390029,Rzeszów,school,I Liceum Ogólnokształcące,Загальноосвітній ліцей №1,
way/231553248,Nowa Sarzyna,school,I Liceum Ogólnokształcące w Nowej Sarzynie,Загальноосвітній ліцей №1 в Новій Сажині,
way/916023358,,school,I Liceum Ogólnokształcące w Parczewie,Загальноосвітній ліцей №1 в Парчеві,
way/365478143,Radzyń Podlaski,school,I Liceum Ogólnokształcące w Radzyniu Podlaskim,Загальноосвітній ліцей №1 в Радзині-Подляскім,
node/6925731096,,school,I Liceum Ogólnokształcące w Zespole Szkół nr 2 w Lubartowie,Загальноосвітній ліцей №1 в Шкільному Комплексі №2 в Любартові,
node/9348812145,,school,I Liceum Ogólnokształcące Dla Dorosłych,Загальноосвітній ліцей №1 для дорослих,
node/1855602857,,school,I Liceum Ogólnokształcące im. Bartosza Głowackiego,Загальноосвітній ліцей №1 ім. Бартоша Гловацького,
way/217741371,,school,I Liceum Ogólnokształcące im. Władysława Broniewskiego i Zespół Szkół Nr 1 im. Cypriana Kamila Norwida,Загальноосвітній ліцей №1 ім. Владислава Броневського і Шкільний Комплекс №1 ім. Ципріана Каміля Норвіда,
way/175808533,,school,I LO im. Władysława Jagiełły w Krasnymstawie,Загальноосвітній ліцей №1 ім. Владислава Ягайли в Краснимставі,
way/189773794,Łańcut,school,I Liceum Ogólnokształcące im. Henryka Sienkiewicza,Загальноосвітній ліцей №1 ім. Генрика Сенкевича,
way/741178643,,school,I Liceum Ogólnokształcące im. Bohaterów Porytowego Wzgórza w Janowie Lubelskim,Загальноосвітній ліцей №1 ім. Героїв Поритового Взгужа в Янові-Любельському,
way/596003778,,school,I Liceum Ogólnokształcące im. Księcia Adama Jerzego Czartoryskiego w Puławach,Загальноосвітній ліцей №1 ім. Князя Адама Єжи Чарторийського у Пулавах,
way/338813198,,school,I Liceum Ogólnokształcące im. Króla Władysława Jagiełły,Загальноосвітній ліцей №1 ім. короля Владислава Ягайли,
way/500337730,,school,I Liceum Ogólnokształcące im. Króla Kazimierza Wielkiego,Загальноосвітній ліцей №1 ім. короля Казимира Великого,
way/694127003,Jasło,school,I Liceum Ogólnokształcące im. Króla Stanisława Leszczyńskiego w Jaśle,Загальноосвітній ліцей №1 ім. короля Станіслава Лещиньського в Яшлі,
way/712472953,,school,I Liceum Ogólnokształcące im. M. Kopernika,Загальноосвітній ліцей №1 ім. М. Коперніка,
way/459460845,,school,I Liceum Ogólnokształcące im. Marii Skłodowskiej - Curie w Rykach,Загальноосвітній ліцей №1 ім. Марії Склодовської-Кюрі в Риках,
way/186790187,Krosno,school,I Liceum Ogólnokształcące im. Mikołaja Kopernika,Загальноосвітній ліцей №1 ім. Миколая Коперніка,
way/297817419,Jarosław,school,I Liceum Ogólnokształcące im. Mikołaja Kopernika,Загальноосвітній ліцей №1 ім. Миколая Коперніка,
way/274087904,,school,I Liceum Ogólnokształcące im. Komisji Edukacji Narodowej,Загальноосвітній ліцей №1 ім. Національної Комісії Освіти,
way/867775766,Biłgoraj,school,I Liceum Ogólnokształcące imienia Organizacji Narodów Zjednoczonych,Загальноосвітній ліцей №1 ім. Організації Об'єднаних Націй,
way/375707083,Mielec,school,I Liceum Ogólnokształcące im. Stanisława Konarskiego,Загальноосвітній ліцей №1 ім. Станіслава Конарського,
way/173444037,Lublin,school,I Liceum Ogólnokształcące im. Stanisława Staszica,Загальноосвітній ліцей №1 ім. Станіслава Сташиця,
way/197224418,Chełm,school,I Liceum Ogólnokształcące im. Stefana Czarnieckiego,Загальноосвітній ліцей №1 ім. Стефана Чарнецького,
way/968912429,,school,I Liceum Ogólnokształcące im. Stefana Czarnieckiego,Загальноосвітній ліцей №1 ім. Стефана Чарнецького,
node/6337120774,,school,I Liceum Ogólnokształcące im. Tadeusza Kościuszki,Загальноосвітній ліцей №1 ім. Тадеуша Костюшки,
node/1951554925,,school,I Liceum Ogólnokształcące im. Tadeusza Kościuszki we Włodawie,Загальноосвітній ліцей №1 ім. Тадеуша Костюшки у Влодаві,
node/3413793423,Biała Podlaska,school,I LO im. Józefa Ignacego Kraszewskiego,Загальноосвітній ліцей №1 ім. Юзефа Ігнація Крашевського,
way/313972808,Biała Podlaska,school,I LO im. Józefa Ignacego Kraszewskiego,Загальноосвітній ліцей №1 ім. Юзефа Ігнація Крашевського,
way/400983155,Biała Podlaska,school,I LO im. Józefa Ignacego Kraszewskiego,Загальноосвітній ліцей №1 ім. Юзефа Ігнація Крашевського,
way/334280830,Przemyśl,school,I Liceum Ogólnokształcące im. Juliusza Słowackiego w Przemyślu,Загальноосвітній ліцей №1 ім. Юліуша Словацкєго в Перемишлі,
node/1590475006,,school,I Liceum Ogólnokształcące im. Jana Zamoyskiego,Загальноосвітній ліцей №1 ім. Яна Замойського,
node/9348812148,,school,II Liceum Ogólnokształcące,Загальноосвітній ліцей №2,
way/273990658,,school,II Liceum Ogólnokształcące,Загальноосвітній ліцей №2,
way/200081353,Rzeszów,school,II Liceum Ogólnokształcące,Загальноосвітній ліцей №2,
node/6700641118,,school,II LO,Загальноосвітній ліцей №2,
node/9543530781,,school,IІ Liceum Ogólnokształcące w Hrubieszowie,Загальноосвітній ліцей №2 в Грубешові,
node/9210369341,,school,II Liceum Ogólnokształcące Dla Dorosłych,Загальноосвітній ліцей №2 для дорослих,
way/906578380,Chełm,school,II Liceum Ogólnokształcące im. gen. Gustawa Orlicz-Dreszera,Загальноосвітній ліцей №2 ім. ген. Густава Орліч-Дрешера,
way/293362869,,school,II Liceum Ogólnokształcące im. Hetmana Jana Zamoyskiego w Lublinie,Загальноосвітній ліцей №2 ім. Гетьмана Яна Замойського в Любліні,
node/3413054754,,school,II Liceum Ogólnokształcące im. Emilii Plater,Загальноосвітній ліцей №2 ім. Емілії Платер,
way/334199191,Biała Podlaska,school,II Liceum Ogólnokształcące im. Emilii Plater,Загальноосвітній ліцей №2 ім. Емілії Платер,
way/333879875,,school,II Liceum Ogólnokształcące im. Kazimierza Morawskiego w Przemyślu,Загальноосвітній ліцей №2 ім. Казімежа Моравскєго в Перемишлі,
way/146490064,,school,II Liceum Ogólnokształcące im. M. Konopnickiej,Загальноосвітній ліцей №2 ім. М. Конопніцької,
way/268400590,Mielec,school,Liceum Ogólnokształcące Nr 2 im. Mikołaja Kopernika,Загальноосвітній ліцей №2 ім. Миколая Коперника,
way/340753256,,school,II Liceum Ogólnokształcące im. Księdza Jana Twardowskiego,Загальноосвітній ліцей №2 ім. Отця Яна Твардовського,
way/284658092,,school,III Liceum Ogólnokształcące,Загальноосвітній ліцей №3,
way/177528413,,school,III Liceum Ogólnokształcące im. Unii Lubelskiej,Загальноосвітній ліцей №3 ім. Люблінської Унії,
way/247991055,,school,III Liceum Ogólnokształcące im. C.K. Norwida,Загальноосвітній ліцей №3 ім. Ц.К. Норвіда,
node/1596910427,,school,IV Liceum Ogólnokształcące,Загальноосвітній ліцей №4,
way/214305726,,school,IV Liceum Ogólnokształcące,Загальноосвітній ліцей №4,
node/7235525402,,school,IV Liceum Ogólnokształcące dla Dorosłych,Загальноосвітній ліцей №4 для дорослих,
way/973147381,,school,IV Liceum Ogólnokształcące im. dr Jadwigi Młodowskiej,Загальноосвітній ліцей №4 ім. др. Ядвіги Млодовської,
way/329766430,,school,IV Liceum Ogólnokształcące im. S. Staszica,Загальноосвітній ліцей №4 ім. С. Сташиця,
way/195059072,Rzeszów,school,IX Liceum Ogólnokształcące,Загальноосвітній ліцей №9,
way/655418501,,school,IX Liceum Ogólnokształcące im. Mikołaja Kopernika w Lublinie,Загальноосвітній ліцей №9 ім. Миколая Коперніка у Любліні,
node/6938843611,,school,Liceum Ogólnokształcące w Horodle,Загальноосвітній ліцей в Городле,
node/6938845476,,school,Liceum Ogólnokształcące w Żółkiewce,Загальноосвітній ліцей в Жулкевці,
way/299375407,Kołaczyce,school,Liceum Ogólnokształcące w Kołaczycach,Загальноосвітній ліцей в Колачицях,
way/301626636,,school,Liceum Ogólnokształcące w Kolbuszowej,Загальноосвітній ліцей в Кольбушовей,
node/3005697478,,school,Liceum Ogólnokształcące w Łaszczowie,Загальноосвітній ліцей в Лащові,
way/402597703,Rymanów,school,Liceum Ogólnokształcące w Rymanowie,Загальноосвітній ліцей в Риманові,
node/6938845475,,school,Liceum Ogólnokształcące Dla Dorosłych,Загальноосвітній ліцей для дорослих,
node/7475740225,,school,Liceum Ogólnokształcące dla Dorosłych Twp w Zagoździu,Загальноосвітній ліцей для дорослих Товариства Загальних Знань в Заґожджі,
node/9543553530,Dubienka,school,Liceum Ogólnokształcące im. 27 Wołyńskiej Dywizji Armii Krajowej w Dubience,Загальноосвітній ліцей ім. 27-ї Волинської дивізії Армії Крайової в Дуб’єнці,
way/353644810,,school,Liceum Ogólnokształcące im. Adama Mickiewicza,Загальноосвітній ліцей ім. Адама Міцкевича,
