id,name,name:ru,name:uk,wikidata,uwagi
node/3375464871,Pętla Autobusowa,Автобусная Петля,Автобусна Петля,,
node/1502756219,Pętla Bokserska,Петля Боксерска,Петля Боксерська,,
node/942626590,Pętla Chomiczówka,Петля Хомичувка,Петля Хомічувка,,
node/5322601951,Pętla Wiatraczna,Петля Вятрачна,Петля Вятрачна,,
node/2666761557,Piłsudskiego,Пилсудского,Пулсудського,,
node/1809497004,PKS - Dworzec Bystrzyca Kłodzka,Автовокзал Быстчица Клодзка,Автовокзал Бистчица Клодзка,,
node/271625388,PKS Brodnica,Автовокзал Бродница,Автовокзал Бродніца,,
node/1573193656,PKS Czarnków,Автовокзал Чарнкув,Автовокзал Чарнкув,,
node/261671780,PKS Dukla,Автовокзал Дукла,Автовокзал Дукла,,
node/2075217536,PKS Głubczyce,Автовокзал Глубчыце,Автовокзал Глубчице,,
node/2536775691,PKS Hrubieszów,Автовокзал Хрубещув,Автовокзал Хрубєщув,,
node/4350098020,PKS Kasa,Автовокзал Каса,Автовокзал Каса,,
node/1517746218,PKS Kozienice,Автовокзал Коженице,Автовокзал Коженіце,,
node/3627539094,PKS Niebylec,Автовокзал Небылец,Автовокзал Небилець,,
node/605277820,PKS Oława,Автовокзал Олава,Автовокзал Олава,,
node/1489467651,PKS Olsztyn,Автовокзал Ольштын,Автовокзал Ольштин,,
node/338443332,PKS Piła,Автовокзал Пила,Автовокзал Піла,,
node/2316284837,PKS Płońsk,Автовокзал Плоньск,Автовокзал Плоньськ,,
node/5859127333,PKS Przechlewo,Автовокзал Пшехлево,Автовокзал Пшехлево,,
node/470259636,PKS Rymanów Zdrój,Автовокзал Рыманув Здруй, Автовокзал Риманув Здруй,,
node/9535989015,PKS Staszów,Автовокзал Сташув,Автовокзал Сташув,,
node/1830223760,PKS Trzciel,Автовокзал Тчецель,Автовокзал Тчецель,,
node/256348461,PKS Warszawa Wschodnia,Автовокзал Варшава Всходня,Автовокзал Варшава Всходня,,
